"","constructor_Results_ID","race_ID","constructor_ID","driver_ID","points","number","position","position_Text","status_ID"
"481",481,21,25,57,0,113,10,"10",13
"482",482,21,25,166,0,112,26,"R",6
"483",483,21,25,140,0,120,15,"R",6
"484",484,21,26,123,0,125,8,"8",12
"485",485,21,26,80,0,127,24,"R",6
"486",486,21,26,128,0,129,28,"R",31
"487",487,21,26,147,0,128,11,"11",14
"488",488,21,26,115,0,121,7,"7",12
"489",489,21,26,139,0,126,16,"R",5
"490",490,21,26,145,0,122,27,"R",31
"491",491,21,36,144,0,123,14,"R",31
"492",492,21,36,126,0,124,9,"9",13
"493",493,21,38,135,2,108,5,"5",11
"494",494,21,38,14,0,107,13,"R",3
"495",495,21,38,2,0,109,23,"R",3
"496",496,21,39,131,0,114,22,"R",51
"497",497,21,41,149,0,136,20,"R",31
"498",498,21,41,134,0,130,18,"R",78
"499",499,21,41,148,0,135,12,"12",14
"500",500,21,41,132,0,110,17,"R",31
"501",501,22,3,83,0,36,11,"R",5
"502",502,22,4,164,0,20,17,"R",24
"503",503,22,4,97,0,16,9,"9",17
"504",504,22,4,164,0,16,9,"9",17
"505",505,22,4,136,0,18,18,"R",107
"506",506,22,6,143,3,32,4,"4",12
"507",507,22,7,122,0,24,14,"R",5
"508",508,22,7,67,6,4,2,"2",1
"509",509,22,7,18,9,2,1,"1",1
"510",510,22,7,3,4,6,3,"3",1
"511",511,22,8,166,0,14,15,"R",8
"512",512,22,25,101,0,28,7,"7",15
"513",513,22,25,153,0,26,8,"8",16
"514",514,22,25,152,0,30,12,"N",60
"515",515,22,37,124,0,34,10,"R",65
"516",516,22,38,135,0,8,16,"R",10
"517",517,22,38,2,0,12,6,"6",13
"518",518,22,38,14,2,10,5,"5",13
"519",519,22,40,162,0,22,13,"R",51
"520",520,23,4,159,0,58,26,"F",79
"521",521,23,4,28,0,60,27,"F",79
"522",522,23,4,155,0,50,11,"11",15
"523",523,23,4,23,2,22,5,"5",11
"524",524,23,4,97,0,48,8,"8",14
"525",525,23,4,136,0,46,17,"R",5
"526",526,23,4,41,0,24,20,"R",5
"527",527,23,4,27,7,26,2,"2",1
"528",528,23,6,124,0,40,9,"9",14
"529",529,23,6,130,0,38,15,"15",54
"530",530,23,6,138,0,36,13,"13",17
"531",531,23,6,143,0,42,19,"N",60
"532",532,23,7,3,4,16,3,"3",1
"533",533,23,7,7,0,68,29,"F",79
"534",534,23,7,18,9,12,1,"1",1
"535",535,23,7,67,3,10,4,"4",1
"536",536,23,7,112,0,8,6,"6",11
"537",537,23,7,102,0,18,23,"R",5
"538",538,23,7,122,0,70,25,"F",79
"539",539,23,7,44,0,62,10,"10",15
"540",540,23,7,142,0,20,33,"F",79
"541",541,23,7,1,0,14,7,"7",13
"542",542,23,8,57,0,66,35,"F",79
"543",543,23,25,158,0,54,28,"F",79
"544",544,23,25,153,0,52,32,"F",79
"545",545,23,25,140,0,56,30,"F",79
"546",546,23,35,133,0,34,24,"R",6
"547",547,23,38,2,0,4,21,"R",5
"548",548,23,38,135,0,6,18,"R",5
"549",549,23,38,14,0,2,14,"14",19
"550",550,23,39,131,0,64,31,"F",79
"551",551,23,40,125,0,28,22,"R",22
"552",552,23,40,83,0,32,16,"R",22
"553",553,23,40,129,0,30,12,"12",16
"554",554,23,42,163,0,44,34,"F",79
"555",555,24,4,173,2,8,5,"5",11
"556",556,24,4,23,0,6,12,"R",7
"557",557,24,4,66,0,2,11,"R",7
"558",558,24,4,27,4,4,3,"3",11
"559",559,24,6,130,0,20,9,"9",86
"560",560,24,6,186,0,22,8,"8",17
"561",561,24,6,167,0,24,16,"R",36
"562",562,24,7,143,3,16,4,"4",11
"563",563,24,7,67,0,12,13,"R",3
"564",564,24,7,18,9,10,1,"1",1
