"constructor_Standings_ID","race_ID","constructor_ID","points","position","position_Text","wins"
359,101,78,0,13,"13",0
360,101,79,0,9,"9",0
361,101,80,0,8,"8",0
362,102,7,45,1,"1",5
363,102,34,7,5,"5",0
364,102,55,0,10,"10",0
365,102,57,22,3,"3",0
366,102,59,14,4,"4",0
367,102,60,0,6,"6",0
368,102,67,0,12,"12",0
369,102,74,35,2,"2",3
370,102,75,0,11,"11",0
371,102,77,0,7,"7",0
372,102,78,0,13,"13",0
373,102,79,0,9,"9",0
374,102,80,0,8,"8",0
375,103,7,4,3,"3",0
376,103,34,9,1,"1",1
377,103,55,0,6,"6",0
378,103,57,1,5,"5",0
379,103,59,2,4,"4",0
380,103,74,6,2,"2",0
381,103,81,0,7,"7",0
382,104,7,10,3,"3",0
383,104,34,10,2,"2",1
384,104,55,0,7,"7",0
385,104,57,3,6,"6",0
386,104,59,11,1,"1",1
387,104,74,6,4,"4",0
388,104,79,0,9,"9",0
389,104,81,3,5,"5",0
390,104,82,0,8,"8",0
391,105,7,14,3,"3",0
392,105,34,16,1,"1",1
393,105,55,0,7,"7",0
394,105,57,3,6,"6",0
395,105,59,11,4,"4",1
396,105,74,15,2,"2",1
397,105,79,0,9,"9",0
398,105,81,5,5,"5",0
399,105,82,0,8,"8",0
400,106,6,0,7,"7",0
401,106,7,14,4,"4",0
402,106,34,20,1,"1",1
403,106,55,0,9,"9",0
404,106,57,12,5,"5",1
405,106,58,0,10,"10",0
406,106,59,17,2,"2",1
407,106,74,15,3,"3",1
408,106,79,0,11,"11",0
409,106,81,7,6,"6",0
410,106,82,0,8,"8",0
411,107,6,0,8,"8",0
412,107,7,14,4,"4",0
413,107,34,23,2,"2",1
414,107,55,0,7,"7",0
415,107,57,12,6,"6",1
416,107,58,0,10,"10",0
417,107,59,21,3,"3",1
418,107,74,24,1,"1",2
419,107,77,0,12,"12",0
420,107,79,0,11,"11",0
421,107,81,13,5,"5",0
422,107,82,0,9,"9",0
423,108,6,0,9,"9",0
424,108,7,15,6,"6",0
425,108,34,31,1,"1",2
426,108,55,0,7,"7",0
427,108,57,16,5,"5",1
428,108,58,0,11,"11",0
429,108,59,23,3,"3",1
430,108,74,27,2,"2",2
431,108,77,0,13,"13",0
432,108,79,0,14,"14",0
433,108,81,19,4,"4",0
434,108,82,0,10,"10",0
435,108,83,0,12,"12",0
436,108,84,0,8,"8",0
437,109,6,0,10,"10",0
438,109,7,18,5,"5",0
439,109,34,37,1,"1",3
440,109,55,0,7,"7",0
441,109,57,17,6,"6",1
442,109,58,0,11,"11",0
443,109,59,25,3,"3",1
444,109,74,27,2,"2",2
445,109,75,0,15,"15",0
446,109,77,0,13,"13",0
447,109,79,0,14,"14",0
448,109,81,19,4,"4",0
449,109,82,0,8,"8",0
450,109,83,0,12,"12",0
451,109,84,0,9,"9",0
452,109,85,0,16,"16",0
453,109,86,0,17,"17",0
454,110,6,0,11,"11",0
455,110,7,18,6,"6",0
456,110,34,39,1,"1",3
457,110,55,0,9,"9",0
458,110,57,18,5,"5",1
459,110,58,0,12,"12",0
460,110,59,27,3,"3",1
461,110,74,36,2,"2",3
462,110,75,0,15,"15",0
463,110,77,0,13,"13",0
464,110,79,0,14,"14",0
465,110,81,19,4,"4",0
466,110,82,1,8,"8",0
467,110,83,3,7,"7",0
468,110,84,0,10,"10",0
469,110,85,0,16,"16",0
470,110,86,0,17,"17",0
471,111,6,0,11,"11",0
472,111,7,18,6,"6",0
473,111,34,42,1,"1",4
474,111,55,0,9,"9",0
475,111,57,18,5,"5",1
476,111,58,0,14,"14",0
477,111,59,29,3,"3",1
478,111,74,36,2,"2",3
479,111,75,0,17,"17",0
480,111,77,0,15,"15",0
481,111,79,0,16,"16",0
482,111,81,19,4,"4",0
483,111,82,1,8,"8",0
484,111,83,6,7,"7",0
485,111,84,0,10,"10",0
486,111,85,0,18,"18",0
487,111,86,0,19,"19",0
488,111,87,0,13,"13",0
489,111,88,0,12,"12",0
490,112,7,3,3,"3",0
491,112,34,9,1,"1",1
492,112,57,0,11,"11",0
493,112,59,4,2,"2",0
494,112,74,1,4,"4",0
495,112,81,0,6,"6",0
496,112,82,0,5,"5",0
497,112,83,0,7,"7",0
498,112,85,0,10,"10",0
499,112,89,0,8,"8",0
500,112,90,0,9,"9",0
501,113,7,3,5,"5",0
502,113,34,12,1,"1",1
503,113,57,1,6,"6",0
504,113,59,10,3,"3",0
505,113,74,10,2,"2",1
506,113,81,0,9,"9",0
507,113,82,0,8,"8",0
508,113,83,4,4,"4",0
509,113,85,0,12,"12",0
510,113,89,0,10,"10",0
511,113,90,0,7,"7",0
512,113,91,0,11,"11",0
513,114,7,7,5,"5",0
514,114,34,14,2,"2",1
515,114,57,1,7,"7",0
516,114,59,10,3,"3",0
517,114,74,19,1,"1",2
518,114,81,0,10,"10",0
519,114,82,0,8,"8",0
520,114,83,10,4,"4",0
521,114,85,0,12,"12",0
522,114,89,0,11,"11",0
523,114,90,0,9,"9",0
524,114,91,3,6,"6",0
525,115,7,7,5,"5",0
526,115,34,14,3,"3",1
527,115,57,1,8,"8",0
528,115,59,16,2,"2",0
529,115,74,28,1,"1",3
530,115,81,0,9,"9",0
531,115,82,1,7,"7",0
532,115,83,13,4,"4",0
533,115,85,0,12,"12",0
534,115,89,0,11,"11",0
535,115,90,0,10,"10",0
536,115,91,3,6,"6",0
537,116,7,13,5,"5",0
538,116,34,18,2,"2",1
539,116,57,1,8,"8",0
540,116,59,16,3,"3",0
541,116,74,37,1,"1",4
542,116,77,0,12,"12",0
543,116,81,0,9,"9",0
544,116,82,2,7,"7",0
545,116,83,13,4,"4",0
546,116,85,0,13,"13",0
547,116,89,0,11,"11",0
548,116,90,0,10,"10",0
549,116,91,3,6,"6",0
550,117,7,22,3,"3",1
551,117,34,22,2,"2",1
552,117,57,4,6,"6",0
553,117,59,17,4,"4",0
554,117,74,43,1,"1",4
555,117,77,0,12,"12",0
556,117,81,0,9,"9",0
557,117,82,4,7,"7",0
558,117,83,13,5,"5",0
559,117,85,0,13,"13",0
560,117,86,0,14,"14",0
561,117,89,0,11,"11",0
562,117,90,0,10,"10",0
563,117,91,3,8,"8",0
564,118,7,22,3,"3",1
565,118,34,28,2,"2",1
566,118,57,4,7,"7",0
567,118,59,21,4,"4",0
568,118,60,0,14,"14",0
569,118,74,51,1,"1",5
570,118,77,0,12,"12",0
